email,first_name,last_name,cf_id,company_name,description,end_date,Left of Goal
zeferino.barrera@zedillo-velazquez.com,Zeferino,Barrera,322,Alvarez-Bauer,Front-line intermediate moderator,2021-04-24,-137892.00
zbigniew.holmes@stiffel.net,Zbigniew,Holmes,2926,"Glass, Nunez and Mcdonald",Open-source systematic protocol,2022-01-18,5869.00
zaira.cattaneo@yahoo.com,Zaira,Cattaneo,2901,Miller-Patel,Mandatory uniform strategy,2021-12-19,56007.00
zachary.vespucci@industrias.com,Zachary,Vespucci,1257,Brown-Mckee,Networked optimal productivity,2022-01-10,-1208.00
zacharie.cordier@gmail.com,Zacharie,Cordier,698,"Hamilton, Wright and Chavez",Down-sized empowering protocol,2021-07-07,72854.00
yvonne.stout@sims.edu,Yvonne,Stout,1260,Smith-Smith,Total leadingedge neural-net,2021-05-26,183084.00
yvette.harding@yahoo.co.uk,Yvette,Harding,1439,"Ayala, Crawford and Taylor",Realigned 5thgeneration knowledge user,2022-01-17,1222.00
yves.mendez@gmail.com,Yves,Mendez,435,Stevenson PLC,Profound directional knowledge user,2021-07-23,159190.00
yuridia.fantozzi@mcdonald.com,Yuridia,Fantozzi,1889,Jordan-Fischer,Vision-oriented high-level extranet,2021-09-23,-2490.00
yolanda.snyder@gmx.de,Yolanda,Snyder,2653,Spencer-Bates,Optional responsive customer loyalty,2021-07-27,55686.00
yeni.tejada@olson.edu.au,Yeni,Tejada,2929,"Dunn, Moreno and Green",Intuitive object-oriented task-force,2021-02-28,-984.00
xavier.samson@baggio.it,Xavier,Samson,302,Hopkins-Browning,Balanced upward-trending productivity,2021-06-13,-11184.00
wolf.lutz@nichols-jackson.com.au,Wolf,Lutz,526,Brooks-Rodriguez,Implemented intangible instruction set,2021-04-09,-321.00
william.gibilisco@gaillard.com,William,Gibilisco,1732,"Pacheco, Johnson and Torres",Optional bandwidth-monitored definition,2021-03-22,-20696.00
wilfriede.baca@caraballo.com,Wilfriede,Baca,3200,Dyer Inc,Secured well-modulated system engine,2021-04-05,-10540.00
wilfrido.lorch@leclerc.fr,Wilfrido,Lorch,1862,David-Clark,De-engineered motivating standardization,2021-12-31,864.00
whitney.noack@laboratorios.org,Whitney,Noack,2986,Manning-Hamilton,Vision-oriented scalable definition,2021-05-30,-55916.00
werner.kallert@gmail.com,Werner,Kallert,1340,Haynes PLC,Re-engineered clear-thinking project,2021-10-06,-5055.00
wendy.bustos@libero.it,Wendy,Bustos,2776,Hughes Inc,Streamlined neutral analyzer,2021-01-30,2380.00
walther.duarte@web.de,Walther,Duarte,3143,Bryant-Pope,Networked intangible help-desk,2021-08-06,-83750.00
walli.albert@dussen.com,Walli,Albert,2612,Lawrence Group,Automated actuating conglomeration,2022-01-26,-10055.00
walburga.vollbrecht@aol.de,Walburga,Vollbrecht,37,Landry Inc,Synergistic cohesive adapter,2021-06-24,-47421.00
volkmar.gauthier@hotmail.com,Volkmar,Gauthier,1780,Dominguez-Owens,Open-architected systematic intranet,2021-08-17,118171.00
vittorio.caccioppoli@yahoo.com,Vittorio,Caccioppoli,3118,"Ellis, Smith and Armstrong",Horizontal attitude-oriented help-desk,2021-10-21,-69515.00
vito.dossi@hotmail.co.uk,Vito,Dossi,2122,Black-Graham,Operative hybrid utilization,2021-10-03,138369.00
virginie.mclean@yahoo.com,Virginie,McLean,2316,Lewis-Jacobson,Exclusive system-worthy Graphic Interface,2021-05-29,-3410.00
virginia.caetani@sosa.biz,Virginia,Caetani,87,Woods-Clark,Networked tertiary Graphical User Interface,2021-03-20,4970.00
