first_name,last_name,email,goal,pledged,Remaining Goal Amount
Calogero,Cross,calogero.cross@mercantini.it,194500.00,41212.00,153288.00
Lauretta,Neal,lauretta.neal@hotmail.de,153700.00,1953.00,151747.00
Chantal,Armas,chantal.armas@jenkins.net,153700.00,55536.00,98164.00
Ariadna,Geisel,ariadna.geisel@rangel.com,110100.00,21946.00,88154.00
Mathilde,Kruschwitz,mathilde.kruschwitz@yahoo.com,93800.00,21477.00,72323.00
Guillermina,Nicholson,guillermina.nicholson@grondin.fr,189500.00,117628.00,71872.00
Henry,Gucci,henry.gucci@leleu.fr,72100.00,30902.00,41198.00
Gabriela,Padilla,gabriela.padilla@pearson-russell.com,41000.00,709.00,40291.00
Svenja,Perrin,svenja.perrin@berger.com,186700.00,178338.00,8362.00
Caroline,Reeves,caroline.reeves@yahoo.com,8600.00,4832.00,3768.00
Katarina,Clarke,katarina.clarke@hotmail.com.au,9900.00,6161.00,3739.00
Imelda,Guerin,imelda.guerin@stumpf.net,3800.00,2241.00,1559.00
Danny,Farrell,danny.farrell@hotmail.com,3600.00,2097.00,1503.00
Tobias,Carbajal,tobias.carbajal@live.com,3600.00,3174.00,426.00
